Kecamatan;Kelurahan;Tanggal;Lokasi Kebakaran;Benda;Penyebab Kebakaran;Nilai;Luas Areal (M2)
Bandung Kulon;Cigondewah Kaler;21 Oktober 2020;Jl. Taman Holis Indah Blok B1 No. 74 RT 04 RW 06;Bagian Dapur Sebuah Rumah;Kebocoran  Tabung Gas;1740900000;12
Batununggal;Kacapiring;21 Oktober 2020;Jl. Sukabumi;Sebuah Dapur RM Sate ABG;Dalam Penyelidikan;500000000;6
Bojongloa Kaler;Kopo;22 Oktober 2020;Jl. Citarip Tengah RT 03 RW 09;Sebuah Kabel Tiang Listrik;Korsleting Listrik;862400000;-
Cibeunying Kaler;Cigadung;22 Oktober 2020;Jl. Cigadung Raya Barat Gg. Cipaheut Kaler RT 04 RW 02;Sebuah Rumah;Korsleting Listrik;1080000000;28
Panyileukan;Mekar Mulya;23 Oktober 2020;Jl. Rumah Sakit No. 7 (PT. PASTEX);Sebuah Mesin diesel (Sisa Oli);Percikan Api Dari Alat Las;29653000000;12
Coblong;Sekeloa;29 Oktober 2020;Jl. Bangbayang Didepan No. 9 RT 02/09;2 (Dua) Buah Kios;Dalam Penyelidikan;274400000;8
Regol;Pungkur;29 Oktober 2020;Jl. Pasundan Gg. Natawijaya No. 4;Sebuah Rumah Bagian Dapur;Kebocoran Tabung Gas;751100000;8
Regol;Ancol;30 Oktober 2020;Jl. Sriwenda No. 18;Kepulan Asap Ditembok;Dalam Penyelidikan;200000000;2
Cidadap;Hegarmanah;12-Nov-20;Jl. Hegarmanah Cikendi RT 05/03;2 (Dua) Buah Kios;Diduga Dari Kebocoran  Tabung Gas;56000000;10
Mandalajati;Karang Pamulang;12-Nov-20;PT. GRAND TEXTILE INDUSTRY Jl. A. H. Nasution KM 7 No. 127 ;Sebuah Pabrik Gudang  Penyimpanan Kapas;Masih Dalam Penyelidikan;3000000000;2800
Bojongloa Kaler;Jamika;15-Nov-20;Jl. Pagarsih Gg. Mukalmi 1 08/03;5 (Lima) Buah Rumah;Diduga Dari Korsleting Listrik;1982400000;210
Antapani;Antapani Tengah;17-Nov-20;Jl. Terusan JakaRT a No. 116 03/04;Lahan Alang-alang;Diduga Dari Pembakaran  Sampah;1E+11;150
Andir;Garuda;18-Nov-20;Jl. Dadali 3 No. 7 RT 01 RW 03;Sebuah Industri Rumahan  (Kaos Kaki);Diduga Dari Kebocoran  Tabung Gas;350000000;4
Bojongloa Kidul;Situsaeur;18-Nov-20;Jl. Leuwi Anyar 7 RT 09 RW 04;Sebuah Rumah 3 Lantai;Masih Dalam Penyelidikan;560000000;12
Lengkong;Cikawao;21-Nov-20;Jl. Kaum Dalam;Sebuah Kendaraan Roda 4 ( Daihatsu Sigra T 1257 GJ );Masih Dalam Penyelidikan;-;-
